"currentDate","currentTime","point0","point1","currentSpeed","freeFlowSpeed","currentTravelTime","freeFlowTravelTime","id"
"2022-10-08","17:00:36",19.0007,73.1299,78,78,455,455,140
"2022-10-08","17:00:36",18.9645,73.131,55,55,1835,1835,141
"2022-10-08","17:00:36",18.9662,73.126,61,61,1722,1722,142
"2022-10-08","17:15:36",19.0316,73.1053,41,41,327,327,143
"2022-10-08","17:15:36",18.9859,73.1198,14,23,352,214,144
"2022-10-08","17:15:36",19.0237,73.1059,41,41,327,327,145
"2022-10-08","17:15:36",18.9681,73.1316,71,71,136,136,146
"2022-10-08","17:15:36",18.9832,73.1008,24,29,471,390,147
"2022-10-08","17:15:36",18.9607,73.1655,47,47,169,169,148
"2022-10-08","17:15:36",18.9632,73.1425,29,35,290,240,149
"2022-10-08","17:15:36",18.9588,73.1594,49,49,50,50,150
"2022-10-08","17:15:36",18.9748,73.1242,35,44,720,573,151
"2022-10-08","17:15:36",19.0005,73.0337,48,48,648,648,152
"2022-10-08","17:15:36",19.0007,73.1299,78,78,455,455,153
"2022-10-08","17:15:36",18.9561,73.1617,46,52,1040,920,154
"2022-10-08","17:15:36",19.0186,73.0283,48,48,648,648,155
"2022-10-08","17:15:36",19.0269,73.0939,53,53,1107,1107,156
"2022-10-08","17:15:36",18.9662,73.126,61,61,1722,1722,157
"2022-10-08","17:15:36",18.9645,73.131,55,55,1835,1835,158
"2022-10-08","17:15:36",19.0438,73.0273,53,53,1107,1107,159
"2022-10-08","17:15:36",18.9831,73.0809,28,28,1313,1313,160
"2022-10-08","17:15:36",18.9941,73.1148,35,44,720,573,161
"2022-10-08","17:15:36",18.9926,73.0957,48,57,350,295,162
"2022-10-08","17:30:36",18.9859,73.1198,23,23,214,214,163
"2022-10-08","17:30:36",18.9607,73.1655,45,47,176,169,164
"2022-10-08","17:30:36",18.9926,73.0957,52,57,323,295,165
"2022-10-08","17:30:36",18.9832,73.1008,24,30,471,377,166
"2022-10-08","17:30:36",18.9588,73.1594,49,49,50,50,167
"2022-10-08","17:30:36",18.9681,73.1316,55,71,175,136,168
"2022-10-08","17:30:36",19.0316,73.1053,32,41,419,327,169
"2022-10-08","17:30:36",18.9632,73.1425,28,35,301,240,170
"2022-10-08","17:30:36",19.0237,73.1059,32,41,419,327,171
"2022-10-08","17:30:36",18.9941,73.1148,34,44,741,573,172
"2022-10-08","17:30:36",19.0005,73.0337,48,48,648,648,173
"2022-10-08","17:30:36",19.0438,73.0273,53,53,1107,1107,174
"2022-10-08","17:30:36",19.0007,73.1299,78,78,455,455,175
"2022-10-08","17:30:36",18.9831,73.0809,28,28,1313,1313,176
"2022-10-08","17:30:36",19.0269,73.0939,53,53,1107,1107,177
"2022-10-08","17:30:36",18.9561,73.1617,47,52,1018,920,178
"2022-10-08","17:30:36",19.0186,73.0283,48,48,648,648,179
"2022-10-08","17:30:36",18.9748,73.1242,34,44,741,573,180
"2022-10-08","17:30:36",18.9645,73.131,45,55,2243,1835,181
"2022-10-08","17:30:36",18.9662,73.126,61,61,1722,1722,182
"2022-10-08","17:45:36",18.9926,73.0957,57,57,295,295,183
"2022-10-08","17:45:36",18.9632,73.1425,21,35,401,240,184
"2022-10-08","17:45:36",18.9832,73.1008,23,30,491,377,185
"2022-10-08","17:45:36",19.0316,73.1053,32,41,419,327,186
"2022-10-08","17:45:36",18.9859,73.1198,23,23,214,214,187
"2022-10-08","17:45:36",18.9607,73.1655,47,47,169,169,188
"2022-10-08","17:45:36",18.9588,73.1594,49,49,50,50,189
"2022-10-08","17:45:36",18.9748,73.1242,30,44,840,573,190
"2022-10-08","17:45:36",19.0005,73.0337,48,48,648,648,191
"2022-10-08","17:45:36",19.0269,73.0939,53,53,1107,1107,192
"2022-10-08","17:45:36",18.9831,73.0809,28,28,1313,1313,193
"2022-10-08","17:45:36",18.9662,73.126,61,61,1722,1722,194
"2022-10-08","17:45:36",18.9561,73.1617,53,53,903,903,195
"2022-10-08","17:45:36",19.0007,73.1299,78,78,455,455,196
"2022-10-08","17:45:36",19.0438,73.0273,53,53,1107,1107,197
"2022-10-08","17:45:36",18.9941,73.1148,30,44,840,573,198
"2022-10-08","17:45:36",19.0186,73.0283,48,48,648,648,199
"2022-10-08","17:45:36",18.9645,73.131,55,55,1835,1835,200
"2022-10-08","17:45:36",18.9681,73.1316,71,71,136,136,201
"2022-10-08","17:45:36",19.0237,73.1059,32,41,419,327,202
"2022-10-08","18:00:36",18.9832,73.1008,25,29,452,390,203
"2022-10-08","18:00:36",18.9681,73.1316,71,71,136,136,204
"2022-10-08","18:00:36",18.9859,73.1198,23,23,214,214,205
"2022-10-08","18:00:36",18.9607,73.1655,47,47,169,169,206
"2022-10-08","18:00:36",19.0237,73.1059,34,41,394,327,207
"2022-10-08","18:00:36",18.9632,73.1425,27,35,312,240,208
"2022-10-08","18:00:36",19.0316,73.1053,34,41,394,327,209
"2022-10-08","18:00:36",18.9926,73.0957,57,57,295,295,210
"2022-10-08","18:00:36",18.9588,73.1594,49,49,50,50,211
"2022-10-08","18:00:36",19.0005,73.0337,48,48,648,648,212
"2022-10-08","18:00:36",18.9748,73.1242,34,43,741,586,213
"2022-10-08","18:00:36",19.0438,73.0273,53,53,1107,1107,214
"2022-10-08","18:00:36",19.0007,73.1299,78,78,455,455,215
"2022-10-08","18:00:36",18.9662,73.126,61,61,1722,1722,216
"2022-10-08","18:00:36",18.9941,73.1148,34,43,741,586,217
"2022-10-08","18:00:36",19.0186,73.0283,48,48,648,648,218
"2022-10-08","18:00:36",19.0269,73.0939,53,53,1107,1107,219
"2022-10-08","18:00:36",18.9561,73.1617,53,53,903,903,220
"2022-10-08","18:00:36",18.9645,73.131,55,55,1835,1835,221
"2022-10-08","18:00:36",18.9831,73.0809,28,28,1313,1313,222
"2022-10-08","12:45:13",18.9926,73.0957,57,57,295,295,223
"2022-10-08","12:45:13",19.0007,73.1299,78,78,455,455,224
"2022-10-08","12:45:13",18.9941,73.1148,33,44,764,573,225
"2022-10-08","12:45:13",18.9832,73.1008,26,30,435,377,226
"2022-10-08","12:45:13",18.9662,73.126,56,61,1876,1722,227
"2022-10-08","12:45:13",18.9632,73.1425,24,35,351,240,228
"2022-10-08","12:45:13",19.0316,73.1053,29,39,462,343,229
"2022-10-08","12:45:13",18.9748,73.1242,33,44,764,573,230
"2022-10-08","12:45:13",18.9607,73.1655,47,47,169,169,231
"2022-10-08","12:45:13",18.9831,73.0809,28,28,1313,1313,232
"2022-10-08","12:45:13",18.9588,73.1594,40,49,61,50,233
"2022-10-08","12:45:13",19.0005,73.0337,48,48,648,648,234
"2022-10-08","12:45:13",19.0269,73.0939,53,53,1107,1107,235
"2022-10-08","12:45:13",18.9645,73.131,55,55,1835,1835,236
"2022-10-08","12:45:13",19.0438,73.0273,53,53,1107,1107,237
"2022-10-08","12:45:13",18.9859,73.1198,18,23,274,214,238
"2022-10-08","12:45:13",19.0186,73.0283,48,48,648,648,239
